systematic,gene,length,RNA_Prints
YDL045C,FAD1,921,2550.200892
YDL055C,PSA1,1086,102823.9897
YDL067C,COX9,180,8306.981839
YDL077C,VAM6,3150,4083.526287
YDL039C,PRM7,2097,2534.264521
YDL037C,BSC1,987,941.9662101
YDL095W,PMT1,2454,21426.41512
YDL081C,RPP1A,321,136616.8982
YDL107W,MSS2,1056,1872.481233
YDL058W,USO1,5373,10926.96562
YDL051W,LHP1,828,16246.27994
YDL092W,SRP14,441,8851.661859
YDL063C,SYO1,1863,7560.465649
YDL100C,GET3,1065,24964.20456
YDL086C-A,YDL086C-A,435,463.8507401
YDL078C,MDH3,1032,10987.44455
YDL085W,NDE2,1638,170.5190649
YDL059C,RAD59,717,1287.605831
YDL099W,BUG1,1026,5869.395207
YDL041W,YDL041W,354,57.09172965
YDL056W,MBP1,2502,3948.776913
YDL072C,YET3,612,9141.390445
YDL070W,BDF2,1917,12902.07184
YDL079C,MRK1,1506,607.9763423
YDL080C,THI3,1830,3618.159812
YDL085C-A,YDL085C-A,207,3678.034291
YDL096C,OPI6,327,190.5340377
YDL104C,QRI7,1224,1494.198716
YDL089W,NUR1,1455,2077.526765
YDL044C,MTF2,1323,3112.606632
YDL066W,IDP1,1287,18988.74023
YDL074C,BRE1,2103,9711.6183
YDL034W,YDL034W,345,27.12906823
YDL108W,KIN28,921,3030.661703
YDL084W,SUB2,1341,49519.47321
YDL052C,SLC1,912,6220.391446
YDL065C,PEX19,1029,4505.488267
YDL071C,YDL071C,375,87.33213108
YDL049C,KNH1,807,616.9392329
YDL093W,PMT5,2232,4588.885175
YDL062W,YDL062W,426,181.6483973
YDL069C,CBS1,690,1279.958596
YDL083C,RPS16B,432,83535.05514
YDL101C,DUN1,1542,3252.392245
YDL088C,ASM4,1587,5363.546998
YDL040C,NAT1,2565,13602.08568
YDL047W,SIT4,936,4649.280143
YDL057W,YDL057W,987,1283.541003
YDL075W,RPL31A,342,119556.6406
YDL061C,RPS29B,171,49381.2952
YDL090C,RAM1,1296,3367.430012
YDL068W,YDL068W,330,80.09350362
YDL102W,POL3,3294,4697.290371
YDL087C,LUC7,786,1271.485905
YDL097C,RPN6,1305,14292.00994
YDL105W,NSE4,1209,1477.358285
YDL111C,RRP42,798,5091.651341
YDL053C,PBP4,558,4234.988053
YDL054C,MCH1,1461,2590.772074
YDL035C,GPR1,2886,4908.645359
YDL043C,PRP11,801,2579.691198
YDL082W,RPL13A,600,53754.44742
YDL109C,YDL109C,1944,1409.434738
YDL094C,YDL094C,510,153.6014989
YDL045W-A,MRP10,288,2772.72163
YDL106C,PHO2,1680,2482.879181
YDL016C,YDL016C,303,1083.040217
YDL031W,DBP10,2988,12594.44257
YDR026C,NSI1,1713,4118.101287
YDR030C,RAD28,1521,1326.669025
YDR004W,RAD57,1383,3597.474582
YDR016C,DAD1,285,3593.934059
YDL026W,YDL026W,312,29.50997776
YDL021W,GPM2,936,1452.985328
YDR019C,GCV1,1203,12976.75914
YDR029W,YDR029W,315,72.1630079
YDR035W,ARO3,1113,15297.96027
YDL032W,YDL032W,312,17.60569937
YDL004W,ATP16,483,9771.368307
YDL003W,MCD1,1701,5566.642728
YDL017W,CDC7,1524,2207.570033
YDR022C,ATG31,591,1672.369074
YDL013W,SLX5,1860,3868.000463
YDR009W,GAL3,1563,460.7861197
YDL025C,RTK1,1863,3583.134148
YDR025W,RPS11A,471,56390.82314
YDR031W,MIX14,366,1857.599907
YDR013W,PSF1,627,3113.666137
YDL019C,OSH2,3852,7083.477067
YDL020C,RPN4,1596,7538.168194
YDL007W,RPT2,1314,18193.68411
YDL010W,GRX6,696,2764.902897
YDR021W,FAL1,1200,3502.588993
YDR007W,TRP1,675,4181.322312
YDR017C,KCS1,3153,7430.558319
YDL014W,NOP1,984,31644.20506
YDL009C,YDL009C,324,164.2740579
YDR008C,YDR008C,351,231.9470979
YDL024C,DIA3,1407,175.1266333
YDR028C,REG1,3045,11319.0557
YDL002C,NHP10,612,5001.355572
YDR010C,YDR010C,333,20.84851226
YDR003W,RCR2,633,2291.28499
YDL006W,PTC1,846,4147.535881
YDL011C,YDL011C,324,78.17687119
YDR024W,FYV1,486,1142.448271
YDR006C,SOK1,2706,5072.681488
YDR014W-A,HED1,489,75.87053924
YDR014W,RAD61,1944,1910.842781
YDR002W,YRB1,606,42585.81553
YDR032C,PST2,597,11658.18206
YDL018C,ERP3,678,3440.587569
YDL023C,YDL023C,321,217.5414833
YDL030W,PRP9,1593,3385.004151
YDR027C,VPS54,2670,4903.872603
YDL001W,RMD1,1293,3061.646076
YDR020C,DAS2,699,2279.276859
YDL027C,YDL027C,1263,2296.605483
YDR018C,YDR018C,1191,235.403259
YDL015C,TSC13,933,12411.23353
YDL008W,APC11,498,2855.472422
YDL022C-A,YDL022C-A,249,6.192900204
YDR023W,SES1,1389,47064.08612
YDR033W,MRH1,963,40349.43543
YDR011W,SNQ2,4506,24385.17402
YDR034W-B,YDR034W-B,156,464.0164241
YDR005C,MAF1,1188,3498.062995
YDR003W-A,YDR003W-A,123,826.2693693
YDL007C-A,YDL007C-A,258,5.897107645
YDL022W,GPD1,1176,12359.12158
YDL025W-A,YDL025W-A,105,28.13097048
YDL005C,MED2,1296,3974.144697
YDR034C,LYS14,2373,5529.703234
YDL012C,YDL012C,324,2797.318572
YDR012W,RPL4B,1089,29602.48507
YDL029W,ARP2,1176,15421.83255
YDR034C-D,YDR034C-D_CDS,5313,12632.4978
YDR034C-A,YDR034C-A,177,1037.935119
YDR034C-C,YDR034C-C_CDS,1317,2297.821033
YDR001C,NTH1,2256,6826.360828
YDL028C,MPS1,2295,3561.343222
YDR015C,YDR015C,240,6.516541624
YDR041W,RSM10,612,5982.104167
YDR039C,ENA2,3276,2213.109417
YDR099W,BMH2,822,17247.62036
YDR083W,RRP8,1179,7307.432577
YDR046C,BAP3,1815,11351.65077
YDR090C,YDR090C,933,2332.027157
YDR063W,AIM7,450,4303.700039
YDR064W,RPS13,456,147860.3937
YDR048C,YDR048C,315,50.19856914
YDR052C,DBF4,2115,4676.863444
YDR086C,SSS1,243,18262.11809
YDR094W,YDR094W,336,1009.967982
YDR045C,RPC11,333,5483.695112
YDR059C,UBC5,447,1165.403219
YDR089W,YDR089W,2610,5765.842341
YDR077W,SED1,1017,42144.06618
YDR067C,OCA6,675,3286.72927
YDR057W,YOS9,1629,3241.300084
YDR068W,DOS2,933,4843.005275
YDR082W,STN1,1485,2739.485381
YDR070C,FMP16,282,215.0132179
YDR053W,YDR053W,396,41.25567177
YDR091C,RLI1,1827,16214.20657
YDR040C,ENA1,3276,2463.391121
YDR062W,LCB2,1686,13015.11428
YDR074W,TPS2,2691,12205.54913
YDR073W,SNF11,510,2388.186873
YDR081C,PDC2,2778,4375.625599
YDR092W,UBC13,462,4963.348034
YDR088C,SLU7,1149,2563.968948
YDR044W,HEM13,987,7980.245042
YDR071C,PAA1,576,15075.45917
YDR079C-A,TFB5,219,2535.470951
YDR054C,CDC34,888,5958.379
YDR066C,RTR2,591,1136.786051
YDR078C,SHU2,672,1338.18414
YDR096W,GIS1,2685,2867.617664
YDR043C,NRG1,696,3306.185741
YDR061W,YDR061W,1620,5304.897785
YDR075W,PPH3,927,2747.227067
YDR050C,TPI1,747,282862.7215
YDR085C,AFR1,1863,1738.843362
YDR080W,VPS41,2979,3844.444433
YDR093W,DNF2,4839,10188.85513
YDR037W,KRS1,1776,49166.82282
YDR047W,HEM12,1089,8432.789896
YDR084C,TVP23,600,3810.14354
YDR065W,RRG1,1098,1904.340685
YDR079W,PET100,336,2379.274258
YDR049W,VMS1,1899,4005.747425
YDR055W,PST1,1335,11326.30908
YDR038C,ENA5,3276,2004.213918
YDR098C,GRX3,753,9958.204489
YDR095C,YDR095C,411,42.11039569
YDR087C,RRP1,837,8899.230335
YDR072C,IPT1,1584,7833.620028
YDR098C-B,YDR098C-B_CDS,5268,34237.799
YDR098C-A,YDR098C-A_CDS,1323,9310.556481
YDR051C,DET1,1005,5344.020225
YDR069C,DOA4,2781,2476.487452
YDR097C,MSH6,3729,5914.456289
YDR042C,YDR042C,603,402.5495372
YDR058C,TGL2,981,1553.431846
YDR076W,RAD55,1221,1088.491433
YDR056C,YDR056C,618,6595.905638
YDR060W,MAK21,3078,19348.07863
YDR114C,YDR114C,303,75.01200084
YDR102C,YDR102C,333,57.41485701
YDR141C,DOP1,5097,8082.846665
YDR120C,TRM1,1713,10369.60416
YDR110W,FOB1,1701,4664.498153
YDR151C,CTH1,978,3584.123323
YDR136C,VPS61,573,67.46880927
YDR145W,TAF12,1620,6130.991578
YDR124W,YDR124W,975,524.3588324
YDR123C,INO2,915,1921.19107
YDR108W,TRS85,2097,3166.05458
YDR109C,YDR109C,2148,2526.291148
YDR117C,TMA64,1698,4075.643477
YDR107C,TMN2,2019,2287.838387
YDR142C,PEX7,1128,1915.492973
YDR121W,DPB4,591,3811.150816
YDR135C,YCF1,4548,18547.65145
YDR119W-A,COX26,201,2706.580628
YDR106W,ARP10,855,274.7848868
YDR155C,CPR1,489,79990.25178
YDR165W,TRM82,1335,10266.69994
YDR149C,YDR149C,708,41.44870376
YDR128W,MTC5,3447,4871.398557
YDR104C,SPO71,3738,2210.019391
YDR125C,ECM18,1362,863.4601638
YDR140W,MTQ2,666,3121.137129
YDR113C,PDS1,1122,2628.896046
YDR103W,STE5,2754,4650.68824
YDR160W,SSY1,2559,2687.351449
YDR146C,SWI5,2130,5137.658413
YDR131C,YDR131C,1671,2184.1986
YDR150W,NUM1,8247,20101.6365
YDR161W,YDR161W,1164,9254.762214
YDR159W,SAC3,3906,5070.286717
YDR116C,MRPL1,858,3692.815818
YDR162C,NBP2,711,2947.800629
YDR154C,YDR154C,351,49221.87904
YDR129C,SAC6,1929,20048.33445
YDR111C,ALT2,1524,3053.203713
YDR122W,KIN1,3195,5390.850706
YDR112W,IRC2,309,46.68543237
YDR153C,ENT5,1236,5492.344528
YDR126W,SWF1,1011,1040.88413
YDR143C,SAN1,1833,3883.330927
YDR134C,YDR134C_CDS,411,20775.81982
YDR139C,RUB1,234,5310.553448
YDR158W,HOM2,1098,37768.65301
YDR119W,VBA4,2307,13128.6885
YDR105C,TMS1,1422,4188.657956
YDR118W-A,YDR118W-A,117,233.4343317
YDR147W,EKI1,1605,4462.089284
YDR130C,FIN1,876,2792.804855
YDR157W,YDR157W,402,879.1193413
YDR132C,YDR132C,1488,1835.763159
YDR115W,YDR115W,318,4324.249462
YDR101C,ARX1,1782,13273.29061
YDR137W,RGP1,1992,4461.503224
YDR144C,MKC7,1791,7790.231339
YDR127W,ARO1,4767,36197.25122
YDR152W,GIR2,798,7481.916731
YDR163W,CWC15,528,2295.804503
YDR118W,APC4,1959,2640.880224
YDR164C,SEC1,2175,3868.655859
YDR148C,KGD2,1392,7811.89715
YDR156W,RPA14,414,4147.36529
YDR133C,YDR133C,336,15997.56874
YDR138W,HPR1,2259,3978.974396
YDR169C,STB3,1542,2558.676589
YDR201W,SPC19,498,2859.642334
YDR196C,CAB5,726,4477.865546
YDR180W,SCC2,4482,3849.278649
YDR198C,RKM2,1440,3334.455843
YDR186C,YDR186C,2634,6251.566304
YDR173C,ARG82,1068,2197.686588
YDR216W,ADR1,3972,2663.67597
YDR226W,ADK1,669,42712.86972
YDR192C,NUP42,1293,2059.700734
YDR177W,UBC1,648,9434.904712
YDR212W,TCP1,1680,19934.75548
YDR223W,CRF1,1404,457.8819545
YDR185C,UPS3,540,731.9169937
YDR170W-A,YDR170W-A_CDS,1323,1895.578685
YDR204W,COQ4,1008,3737.445525
YDR222W,YDR222W,1248,2162.374304
YDR225W,HTA1,399,50332.7751
YDR210C-D,YDR210C-D_CDS,5268,35533.75464
YDR172W,SUP35,2058,25667.89391
YDR168W,CDC37,1521,9790.111974
YDR179W-A,YDR179W-A,1392,2703.299876
YDR207C,UME6,2511,2885.112354
YDR217C,RAD9,3930,4576.02672
YDR208W,MSS4,2340,6583.182061
YDR188W,CCT6,1641,21502.10943
YDR200C,VPS64,1815,2534.414205
YDR209C,YDR209C,414,1342.82452
YDR178W,SDH4,546,2806.960132
YDR213W,UPC2,2742,3407.56596
YDR181C,SAS4,1446,2904.111228
YDR203W,YDR203W,318,56.50824899
YDR171W,HSP42,1128,4111.489018
YDR182W-A,YDR182W-A,204,118.6908312
YDR221W,GTB1,2109,3782.61985
YDR191W,HST4,1113,1958.107734
YDR195W,REF2,1602,3668.180412
YDR214W,AHA1,1053,11575.1893
YDR218C,SPR28,1272,194.3647451
YDR189W,SLY1,2001,7222.135753
YDR182W,CDC1,1476,4738.694107
YDR194C,MSS116,1995,12922.74192
YDR194W-A,YDR194W-A,153,12.88120231
YDR175C,RSM24,960,4181.275175
YDR224C,HTB1,396,36600.60151
YDR219C,MFB1,1398,3276.594101
YDR179C,CSN9,489,1305.956497
YDR167W,TAF10,621,4729.154723
YDR183C-A,YDR183C-A,258,782.324439
YDR206W,EBS1,2655,8624.872617
YDR210W,YDR210W,228,9063.998189
YDR220C,YDR220C,294,91.60400815
YDR199W,YDR199W,366,66.76450262
YDR170C,SEC7,6030,24791.48093
YDR190C,RVB1,1392,14436.38388
YDR176W,NGG1,2109,4970.437239
YDR215C,YDR215C,414,14.10002328
YDR202C,RAV2,1056,2521.783111
YDR187C,YDR187C,519,208.7298368
YDR197W,CBS2,1170,2993.408921
YDR174W,HMO1,741,16739.14175
YDR169C-A,YDR169C-A,150,27.85172071
YDR184C,ATC1,885,3185.571557
YDR210W-A,YDR210W-A_CDS,1317,1686.217781
YDR205W,MSC2,2175,2871.386816
YDR210W-B,YDR210W-B_CDS,5313,14787.17839
YDR211W,GCD6,2139,13696.53614
YDR183W,PLP1,693,2022.30327
YDR193W,YDR193W,399,53.58976793
YDR210C-C,YDR210C-C_CDS,1323,8914.584128
YDR261W-A,YDR261W-A_CDS,1317,1965.975445
YDR261W-B,YDR261W-B_CDS,5313,13123.30142
YDR291W,HRQ1,3234,4292.892016
YDR259C,YAP6,1152,761.5686363
YDR260C,SWM1,513,1871.943165
YDR254W,CHL4,1377,1733.920437
YDR278C,YDR278C,318,167610.2017
YDR242W,AMD2,1650,1887.227973
YDR286C,YDR286C,345,1391.548689
YDR273W,DON1,1098,619.441373
YDR230W,YDR230W,348,93.8162949
YDR290W,YDR290W,330,24.10844289
YDR249C,YDR249C,1122,1975.794519
YDR264C,AKR1,2295,13105.94039
YDR289C,RTT103,1230,2921.235402
YDR234W,LYS4,2082,9953.112278
YDR246W,TRS23,660,2028.694814
YDR274C,YDR274C,372,49.72608599
YDR229W,IVY1,1362,4059.595914
YDR282C,YDR282C,1245,2142.032669
YDR263C,DIN7,1293,996.1629048
YDR268W,MSW1,1140,2850.143713
YDR251W,PAM1,2493,6368.156732
YDR245W,MNN10,1182,12937.46708
YDR285W,ZIP1,2628,1615.217482
YDR248C,YDR248C,582,2343.760069
YDR271C,YDR271C,372,52.80119185
YDR267C,CIA1,993,4414.977837
YDR279W,RNH202,1053,3238.798371
YDR241W,BUD26,288,290.1413882
YDR281C,PHM6,315,1886.024533
YDR246W-A,YDR246W-A,201,54.37557037
YDR239C,YDR239C,2364,3157.235954
YDR252W,BTT1,450,808.9163138
YDR288W,NSE3,912,3611.42289
YDR231C,COX20,618,2323.312745
YDR235W,PRP42,1635,4573.061802
YDR275W,BSC2,708,3230.204296
YDR232W,HEM1,1647,10396.33645
YDR228C,PCF11,1881,4387.931865
YDR269C,YDR269C,324,9.788669712
YDR255C,RMD5,1266,1091.747454
YDR270W,CCC2,3015,3303.982881
YDR262W,YDR262W,819,4120.793999
YDR236C,FMN1,657,3560.855564
YDR276C,PMP3,168,25051.46413
YDR256C,CTA1,1548,503.1965117
YDR284C,DPP1,870,5844.806845
YDR292C,SRP101,1866,8507.205768
YDR258C,HSP78,2436,7486.01215
YDR261C,EXG2,1689,4799.143222
YDR266C,HEL2,1920,6185.957815
YDR287W,INM2,879,2208.46955
YDR272W,GLO2,825,6509.607336
YDR244W,PEX5,1839,3778.429309
YDR233C,RTN1,888,23770.77058
YDR280W,RRP45,918,7278.719783
YDR265W,PEX10,1014,3215.07674
YDR238C,SEC26,2922,21661.46479
YDR243C,PRP28,1767,2470.299232
YDR253C,MET32,576,445.4257862
YDR283C,GCN2,4980,6360.272629
YDR227W,SIR4,4077,4033.042263
YDR240C,SNU56,1479,3187.103457
YDR250C,YDR250C,276,32.51277429
YDR261C-D,YDR261C-D_CDS,4815,38803.1482
YDR261C-C,YDR261C-C_CDS,1323,10833.75494
YDR237W,MRPL7,879,4202.497234
YDR247W,VHS1,1386,1238.935266
YDR277C,MTH1,1302,1197.173355
YDR257C,RKM4,1485,4976.273634
YDR305C,HNT2,654,3466.856011
YDR316W-B,YDR316W-B_CDS,5268,51182.06782
YDR322W,MRPL35,1104,4171.779971
YDR299W,BFR2,1605,7802.527721
YDR316W,OMS1,1416,3106.595341
YDR346C,SVF1,1446,22902.81702
YDR320C-A,DAD4,219,4583.515615
YDR306C,YDR306C,1437,3400.201683
YDR315C,IPK1,846,1349.875879
YDR326C,YSP2,4317,8514.607413
YDR295C,HDA2,2025,3631.274789
YDR328C,SKP1,585,12392.91625
YDR296W,MHR1,681,4417.408028
YDR311W,TFB1,1929,4698.395179
YDR333C,RQC1,2172,7272.616994
YDR323C,PEP7,1548,2280.741187
YDR322C-A,TIM11,291,7486.715385
YDR302W,GPI11,660,4222.876372
YDR334W,SWR1,4545,7419.979324
YDR316W-A,YDR316W-A_CDS,1323,9634.732099
YDR337W,MRPS28,861,5361.281196
YDR347W,MRP1,966,5647.921343
YDR348C,PAL1,1500,5736.826458
YDR327W,YDR327W,327,649.1316649
YDR307W,PMT7,1989,3332.494853
YDR310C,SUM1,3189,6292.570358
YDR330W,UBX5,1503,2885.188322
YDR320C,SWA2,2007,3083.141979
YDR319C,YFT2,825,2492.156361
YDR340W,YDR340W,303,779.99331
YDR303C,RSC3,2658,6238.710923
YDR318W,MCM21,1107,2438.025705
YDR342C,HXT7,1713,10724.54171
YDR339C,FCF1,570,7398.495324
YDR314C,RAD34,2079,1067.975139
YDR312W,SSF2,1362,3237.916509
YDR308C,SRB7,423,3134.532489
YDR349C,YPS7,1791,6137.589432
YDR332W,IRC3,2070,2477.277016
YDR297W,SUR2,1050,7329.98979
YDR329C,PEX3,1326,4203.494687
YDR301W,CFT1,4074,5149.97586
YDR324C,UTP4,2331,11969.62467
YDR321W,ASP1,1146,16994.12212
YDR344C,YDR344C,444,127.2572368
YDR320W-B,YDR320W-B,138,124.7993694
YDR336W,YDR336W,945,3311.783196
YDR304C,CPR5,678,16701.17682
YDR313C,PIB1,861,1683.999562
YDR341C,YDR341C,1824,28155.50773
YDR309C,GIC2,1152,4722.203823
YDR331W,GPI8,1236,4358.057211
YDR298C,ATP5,639,11427.78671
YDR343C,HXT6,1713,10047.24511
YDR300C,PRO1,1287,7518.383837
YDR338C,YDR338C,2088,2962.704552
YDR317W,HIM1,1245,776.1622857
YDR345C,HXT3,1704,21150.99894
YDR335W,MSN5,3675,11074.99179
YDR350C,ATP22,2055,3750.176827
YDR294C,DPL1,1770,7953.08841
YDR325W,YCG1,3108,5603.15778
YDR384C,ATO3,828,6431.122751
YDR364C,CDC40,1368,3548.343921
YDR365W-B,YDR365W-B_CDS,5268,58033.82624
YDR410C,STE14,720,4333.684596
YDR406W,PDR15,4590,3858.02471
YDR363W,ESC2,1371,2407.797674
YDR404C,RPB7,516,4798.682877
YDR385W,EFT2,2529,63663.18558
YDR379C-A,SDH6,240,986.7521505
YDR376W,ARH1,1482,4139.213433
YDR419W,RAD30,1899,2692.880967
YDR378C,LSM6,261,7612.676242
YDR393W,SHE9,1371,3046.892087
YDR403W,DIT1,1611,339.3453261
YDR374W-A,WIP1,270,1917.210824
YDR408C,ADE8,645,8860.563187
YDR365W-A,YDR365W-A_CDS,1323,11819.35606
YDR372C,VPS74,1038,11147.1725
YDR402C,DIT2,1470,146.7550947
YDR362C,TFC6,2019,3465.324951
YDR415C,YDR415C,1125,2991.649373
YDR397C,NCB2,441,4858.046301
YDR407C,TRS120,3870,6499.914665
YDR399W,HPT1,666,26217.02794
YDR356W,SPC110,2835,4637.942408
YDR373W,FRQ1,573,6198.591499
YDR354C-A,YDR354C-A,144,23.74027129
YDR416W,SYF1,2580,4646.605402
YDR387C,YDR387C,1668,3080.761757
YDR392W,SPT3,1014,2752.621603
YDR388W,RVS167,1449,12614.66461
YDR411C,DFM1,1026,4129.339844
YDR357C,CNL1,369,3276.43854
YDR386W,MUS81,1899,2298.874618
YDR381W,YRA1,681,23518.89661
YDR368W,YPR1,939,8643.422926
YDR375C,BCS1,1371,3570.999344
YDR354W,TRP4,1143,6357.916749
YDR353W,TRR1,960,24540.7127
YDR412W,RRP17,708,4891.728733
YDR396W,YDR396W,501,559.2949834
YDR381C-A,YDR381C-A,345,2326.502557
YDR382W,RPP2B,333,138719.5745
YDR366C,YDR366C,399,1901.729029
YDR371C-A,YDR371C-A,105,25.38590126
YDR391C,YDR391C,699,2422.981567
YDR371W,CTS2,1536,2855.25219
YDR361C,BCP1,852,10020.45414
YDR406W-A,YDR406W-A,246,117.3599265
YDR369C,XRS2,2565,2236.348682
YDR374C,PHO92,921,89.36725406
YDR417C,YDR417C,372,8766.700703
YDR359C,EAF1,2949,3683.25187
YDR395W,SXM1,2835,15860.40635
YDR389W,SAC7,1965,4359.477394
YDR401W,YDR401W,564,83.41962666
YDR405W,MRP20,792,3225.974096
YDR380W,ARO10,1908,7506.986059
YDR394W,RPT3,1287,12809.31173
YDR358W,GGA1,1674,2689.400247
YDR418W,RPL12B,498,95784.5498
YDR379W,RGA2,3030,3982.388531
YDR390C,UBA2,1911,5779.745681
YDR398W,UTP5,1932,10912.08307
YDR370C,DXO1,1329,3891.69348
YDR352W,YPQ2,954,4223.794262
YDR413C,YDR413C,576,503.1811651
YDR363W-A,SEM1,270,10834.16746
YDR355C,YDR355C,303,21.96116922
YDR409W,SIZ1,2715,2320.775028
YDR383C,NKP1,717,2202.241606
YDR360W,OPI7,435,43.70485764
YDR377W,ATP17,306,9132.690735
YDR367W,KEI1,666,5157.511165
YDR414C,ERD1,1089,2543.461064
YDR365C,ESF1,1887,13188.43226
YDR400W,URH1,1023,3569.336625
YDR481C,PHO8,1701,14136.4796
YDR459C,PFA5,1125,2904.002278
YDR461W,MFA1,111,9681.275261
YDR431W,YDR431W,312,16.62759705
YDR488C,PAC11,1602,1779.644946
YDR435C,PPM1,987,2615.188132
YDR439W,LRS4,1044,1440.695529
YDR422C,SIP1,2448,4110.460089
YDR476C,YDR476C,675,3316.282996
YDR485C,VPS72,2388,3938.185078
YDR449C,UTP6,1323,7034.233629
YDR494W,RSM28,1086,6652.838829
YDR495C,VPS3,3036,2845.08113
YDR430C,CYM1,2970,6041.321242
YDR487C,RIB3,627,13114.19133
YDR462W,MRPL28,444,3295.467918
YDR443C,SSN2,4263,3750.39549
YDR460W,TFB3,966,3254.477023
YDR464W,SPP41,4308,6295.438162
YDR472W,TRS31,852,3981.952663
YDR491C,YDR491C,492,116.7821443
YDR486C,VPS60,690,3655.250674
YDR469W,SDC1,528,3299.334953
YDR425W,SNX41,1878,1950.114934
YDR477W,SNF1,1902,6150.653853
YDR434W,GPI17,1605,6363.208599
YDR467C,YDR467C,327,199.3498404
YDR454C,GUK1,564,21839.1016
YDR480W,DIG2,972,2017.180542
YDR450W,RPS18A,441,82674.40168
YDR441C,APT2,546,2320.302519
YDR455C,YDR455C,309,46.8301672
YDR457W,TOM1,9807,39238.45143
YDR437W,GPI19,423,482.3205796
YDR440W,DOT1,1749,2704.89624
YDR463W,STP1,1560,5726.051958
YDR473C,PRP3,1410,2268.130447
YDR427W,RPN9,1182,13509.79862
YDR484W,VPS52,1926,3190.224301
YDR448W,ADA2,1305,3658.856977
YDR493W,MZM1,372,2333.128803
YDR452W,PPN1,2025,11442.79731
YDR424C,DYN2,279,5204.633282
YDR461C-A,YDR461C-A,243,1661.113779
YDR432W,NPL3,1245,18843.95767
YDR489W,SLD5,885,1780.448963
YDR451C,YHP1,1062,4192.026927
YDR483W,KRE2,1329,18482.33568
YDR456W,NHX1,1902,5380.389177
YDR445C,YDR445C,408,644031.1538
YDR423C,CAD1,1230,3413.72458
YDR466W,PKH3,2697,3532.033211
YDR470C,UGO1,1509,2440.851219
YDR438W,THI74,1113,1652.223743
YDR433W,YDR433W,441,8269.331728
YDR453C,TSA2,591,1218.100065
YDR468C,TLG1,675,3955.554782
YDR475C,JIP4,2631,3356.986998
YDR446W,ECM11,909,63.04302848
YDR428C,BNA7,786,2918.583549
YDR458C,HEH2,1992,4728.283866
YDR436W,PPZ2,2133,2105.208773
YDR447C,RPS17B,411,65739.80816
YDR492W,IZH1,951,4060.512627
YDR471W,RPL27B,411,56770.2573
YDR465C,RMT2,1239,8375.299011
YDR479C,PEX29,1665,2948.26059
YDR429C,TIF35,825,31070.57575
YDR482C,CWC21,408,2054.233395
YDR442W,YDR442W,393,36.4742968
YDR464C-A,YDR464C-A,189,17.12305477
YDR478W,SNM1,597,1864.602518
YDR444W,YDR444W,2064,3465.062912
YDR426C,YDR426C,378,98.60536692
YDR490C,PKH1,2301,3226.171183
YDR421W,ARO80,2853,3139.933975
YDR499W,LCD1,2244,2530.555574
YDR518W,EUG1,1554,4630.308741
YDR510C-A,YDR510C-A,117,244.2563384
YDR513W,GRX2,432,8573.966818
YDR521W,YDR521W,336,21.86306718
YDR543C,YDR543C,300,1.584618956
YDR536W,STL1,1710,106.3056699
YDR506C,GMC1,1827,1192.402732
YDR524W-C,YDR524W-C,90,4923.301124
YDR524C-A,YDR524C-A,120,60.22056612
YDR517W,GRH1,1119,6621.938474
YDR504C,SPG3,384,1011.838077
YDR509W,YDR509W,348,207.1250403
YDR545C-A,YDR545C-A,480,162.7340032
YDR512C,EMI1,564,2406.71675
YDR544C,YDR544C,429,3.417193586
YDR522C,SPS2,1509,66.79076844
YDR527W,RBA50,1320,5360.206503
YDR515W,SLF1,1344,2546.662149
YDR530C,APA2,978,2572.651387
YDR519W,FPR2,408,6125.346005
YDR528W,HLR1,1272,2367.087794
YDR545W,YRF1-1,5391,3557.453402
YDR500C,RPL37B,267,66417.97405
YDR511W,SDH7,402,2231.22832
YDR539W,FDC1,1512,4441.988555
YDR501W,PLM2,1566,1396.10457
YDR540C,IRC4,540,635.7033967
YDR497C,ITR1,1755,29906.11664
YDR516C,EMI2,1503,6125.23016
YDR520C,URC2,2319,2957.459519
YDR534C,FIT1,1587,860.3520913
YDR541C,YDR541C,1035,1817.649742
YDR529C,QCR7,384,13157.50025
YDR505C,PSP1,2526,4882.231017
YDR524C-B,YDR524C-B,201,169055.4164
YDR523C,SPS1,1473,199.1451776
YDR507C,GIN4,3429,9147.607482
YDR538W,PAD1,729,1627.000219
YDR526C,YDR526C,471,101.6723511
YDR533C,HSP31,714,3084.970033
YDR514C,YDR514C,1452,3164.506856
YDR542W,PAU10,363,15.97071669
YDR535C,YDR535C,501,58.73746422
YDR503C,LPP1,825,2085.60723
YDR502C,SAM2,1155,23137.86162
YDR508C,GNP1,1992,18288.16639
YDR525W-A,SNA2,240,2147.203862
YDR537C,YDR537C,606,118.2238854
YDR524C,AGE1,1449,2702.578706
YDR498C,SEC20,1152,3504.982618
YDR510W,SMT3,306,13905.84836
YDR525W,API2,330,19.09732868
YDR531W,CAB1,1104,7260.931826
YDR532C,KRE28,1158,2217.902313
YIR019C,FLO11,4104,33055.4221
YIL048W,NEO1,3456,5711.906974
YIL122W,POG1,1056,1284.495551
YIL140W,AXL2,2472,3593.858108
YIL167W,YIL167W_CDS,1017,439.8122054
YIL156W,UBP7,3216,2729.864416
YIL176C,PAU14,363,38.19272658
YIL156W-B,YIL156W-B,222,3643.64944
